순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
125,만조를 기다리며 :우리 숨바꼭질 기억해? ,지은이: 조예은,위즈덤하우스,2023,9791168127128,813.7,문학 > 한국문학 > 소설,32
125,제철 행복 :김신지 에세이 ,지은이: 김신지,인플루엔셜,2024,9791168341890,818,문학 > 한국문학 > 르포르타주 및 기타,32
125,소란한 속삭임 :마치 큰 비밀이라도 되는 양 ,지은이: 예소연,위즈덤하우스,2025,9791171717316,813.7,문학 > 한국문학 > 소설,32
125,"아무튼, 여름 - 내가 그리워한 건 여름이 아니라 여름의 나였다",김신회 (지은이),제철소,2020,9791188343317,,,32
125,이상한 집 :11개의 평면도,우케쓰 지음 ;김은모 옮김,디엔씨미디어,2025,9791192738482,833.6,문학 > 일본문학 > 소설,32
125,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,2024,9791193506516,224.2,"종교 > 불교 > 법어, 신앙록, 신앙생활",32
125,여름을 열어보니 이야기가 웅크리고 있었지 ,"지은이: 김화진,정기현",스위밍꿀,2024,9791193773031,813.7,문학 > 한국문학 > 소설,32
125,궤도 ,지은이: 서맨사 하비 ;옮긴이: 송예슬,서해문집,2025,9791194413394,843.6,문학 > 영미문학 > 소설,32
125,결혼·여름 ,지은이: 알베르 카뮈 ;옮긴이: 장소미,녹색광선,2023,9791198375308,864,문학 > 프랑스문학 > 수필,32
141,달까지 가자 :장류진 장편소설 ,지은이: 장류진,창비,2021,9788936434496,813.7,문학 > 한국문학 > 소설,31
141,율의 시선 :김민서 장편소설 ,지은이: 김민서,창비,2024,9788936457259,813.7,문학 > 한국문학 > 소설,31
141,8월에 만나요 :가브리엘 가르시아 마르케스 소설 ,지은이: 가브리엘 가르시아 마르케스 ;옮긴이: 송병선,민음사,2024,9788937456480,873,문학 > 스페인문학 > 소설,31
141,한 스푼의 시간 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스,2016,9788959130580,813.7,문학 > 한국문학 > 소설,31
141,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,9788970129815,843.6,문학 > 영미문학 > 소설,31
141,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,181.845,철학 > 심리학 > 각론,31
141,욕구들 :여성은 왜 원하는가 ,캐럴라인 냅 지음 ;정지인 옮김,북하우스 퍼블리셔스,2021,9791164051069,337.1,"사회과학 > 사회학, 사회문제 > 여성문제",31
141,파친코 :이민진 장편소설 ,지은이: 이민진 ;옮긴이: 신승미,인플루엔셜,2022,9791168340510,843.6,문학 > 영미문학 > 소설,31
141,여름은 고작 계절 :김서해 장편소설 ,지은이: 김서해,위즈덤하우스,2025,9791171713929,813.7,문학 > 한국문학 > 소설,31
141,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,9791188331796,327.04,사회과학 > 경제학 > 금융,31
141,눈에 갇힌 외딴 산장에서,"히가시노 게이고 (지은이), 김난주 (옮긴이)",재인,2023,9791192483191,,,31
141,회색 인간 ,지은이: 김동식,요다,2017,9791196222628,813.7,문학 > 한국문학 > 소설,31
153,스토너 :존 윌리엄스 장편소설 ,지은이: 존 윌리엄스 ;옮긴이: 김승욱,RHK(알에이치코리아),2015,9788925554990,843.5,문학 > 영미문학 > 소설,30
153,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애,민음사,2000,9788937460449,853,문학 > 독일문학 > 소설,30
153,여름 ,지은이: 이디스 워튼 ;김욱동 옮김,민음사,2020,9788937463686,843.5,문학 > 영미문학 > 소설,30
153,트러스트 :에르난 디아스 장편소설 ,지은이: 에르난 디아스 ;옮긴이: 강동혁,문학동네,2023,9788954691673,843.6,문학 > 영미문학 > 소설,30
153,흐르는 강물처럼,"셸리 리드 (지은이), 김보람 (옮긴이)",다산책방,2024,9791130649672,,,30
153,노랜드 :천선란 소설집 ,지은이: 천선란,한겨레엔,2022,9791160404944,813.7,문학 > 한국문학 > 소설,30
153,아이가 없는 집 ,지은이: 알렉스 안도릴 ;옮긴이: 유혜인,필름,2024,9791193262184,859.7,문학 > 독일문학 > 기타 게르만 문학,30
153,나는 왜 남들보다 쉽게 지칠까 :무던해 보이지만 누구보다 예민한 HSP를 위한 심리학 ,최재훈 지음,서스테인,2024,9791193388075,182.12,철학 > 심리학 > 차이심리학,30
153,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,9791197377143,813.7,문학 > 한국문학 > 소설,30
162,서랍에 저녁을 넣어 두었다 :한강 시집 ,지은이: 한강,문학과지성사,2013,9788932024639,811.62,문학 > 한국문학 > 시,29
162,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,2019,9788954655972,816.62,"문학 > 한국문학 > 일기, 서간, 기행",29
162,원씽 :복잡한 세상을 이기는 단순함의 힘 ,"게리 켈러,구세희 옮김",비즈니스북스,2013,9788997575169,325.04,사회과학 > 경제학 > 경영관리,29
162,호르몬 체인지 :최정화 소설 ,지은이: 최정화,은행나무,2025,9791167375353,813.7,문학 > 한국문학 > 소설,29
162,라비우와 링과 ,지은이: 김서해,위즈덤하우스,2024,9791171717064,813.7,문학 > 한국문학 > 소설,29
162,0000 ,지은이: 임선우,위즈덤하우스,2024,9791171717071,813.7,문학 > 한국문학 > 소설,29
162,로맨스 도파민 ,"지은이: 최영원,우재윤",안전가옥,2024,9791193024652,813.7,문학 > 한국문학 > 소설,29
162,패배의 신호 ,지은이: 프랑수아즈 사강 ;옮긴이: 장소미,녹색광선,2022,9791196554866,863,문학 > 프랑스문학 > 소설,29
170,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936434267,813.7,문학 > 한국문학 > 소설,28
170,디디의 우산 :황정은 연작소설 ,지은이: 황정은,창비,2019,9788936437541,813.7,문학 > 한국문학 > 소설,28
170,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,813.62,문학 > 한국문학 > 소설,28
170,두고 온 여름 :성해나 소설 ,지은이: 성해나,창비,2023,9788936439002,813.7,문학 > 한국문학 > 소설,28
170,노르웨이의 숲 =Norwegian wood ,지은이: 무라카미 하루키 ;옮긴이: 양억관,민음사,2017,9788937434488,833.6,문학 > 일본문학 > 소설,28
170,외계인이 인류를 멸망시킨대,박대겸 (지은이),민음사,2025,9788937473951,,,28
170,사서함 110호의 우편물 :이도우 장편소설 ,지은이: 이도우,시공사,2016,9788952782076,813.7,문학 > 한국문학 > 소설,28
170,1차원이 되고 싶어 :박상영 장편소설 ,지은이: 박상영,문학동네,2021,9788954682749,813.7,문학 > 한국문학 > 소설,28
170,가녀장의 시대 :이슬아 장편소설 ,지은이: 이슬아,문학동네,2022,9788954688796,813.7,문학 > 한국문학 > 소설,28
170,도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ,애나 렘키 지음 ;김두완 옮김,흐름출판,2022,9788965965046,181.71,철학 > 심리학 > 각론,28
170,고백 :미나토 가나에 장편소설 ,지은이: 미나토 가나에 ;옮긴이: 김선영,비채,2009,9788992036962,833.6,문학 > 일본문학 > 소설,28
170,빛과 멜로디 :조해진 장편소설 ,지은이: 조해진,문학동네,2024,9791141607241,813.7,문학 > 한국문학 > 소설,28
170,플라스틱 세대 :김달리 장편소설 ,지은이: 김달리,한겨레엔,2025,9791172132217,813.7,문학 > 한국문학 > 소설,28
170,방주 :유키 하루오 장편소설 ,지은이: 유키 하루오 ;옮긴이: 김은모,블루홀6(블루홀식스),2023,9791189571894,833.6,문학 > 일본문학 > 소설,28
170,재와 물거품 ,지은이: 김청귤,안전가옥,2021,9791191193114,813.7,문학 > 한국문학 > 소설,28
170,쓰게 될 것 :최진영 소설집 ,지은이: 최진영,안온(안온북스),2024,9791192638379,813.7,문학 > 한국문학 > 소설,28
186,사랑의 기술 ,에리히 프롬 지음 ;황문수 옮김,문예출판사,2019,9788931011623,181.71,철학 > 심리학 > 각론,27
186,브로콜리 펀치 :이유리 소설집 ,지은이: 이유리,문학과지성사,2021,9788932039114,813.7,문학 > 한국문학 > 소설,27
